id	name	description	synonyms
UBERON:0000948	heart	A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ.	["chambered heart","vertebrate heart"]
UBERON:0000955	brain	The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell.	[]
UBERON:0000974	neck	An organism subdivision that extends from the head to the pectoral girdle, encompassing the cervical vertebral column.	[]
UBERON:0000977	pleura	The invaginated serous membrane that surrounds the lungs (the visceral portion) and lines the walls of the pleural cavity (parietal portion).	["wall of pleural sac"]
UBERON:0000992	ovary	The gonad of a female organism which contains germ cells.	["animal ovary","female gonad","female organism genitalia gonad","female organism genitalia gonada","female organism reproductive system gonad","female organism reproductive system gonada","female reproductive system gonad","female reproductive system gonada","genitalia of female organism gonad","genitalia of female organism gonada","gonad of female organism genitalia","gonad of female organism reproductive system","gonad of female reproductive system","gonad of genitalia of female organism","gonad of reproductive system of female organism","gonada of female organism genitalia","gonada of female organism reproductive system","gonada of female reproductive system","gonada of genitalia of female organism","gonada of reproductive system of female organism","ovum-producing ovary","reproductive system of female organism gonad","reproductive system of female organism gonada"]
UBERON:0000995	uterus	The female muscular organ of gestation in which the developing embryo or fetus is nourished until birth.	[]
UBERON:0000996	vagina	A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles.	[]
UBERON:0000997	mammalian vulva	External genital organs of the female mammal.	["female pudendum","mammalian vulva","puboperineal region","pudendum femininum","skin of female pudendum","skin of vulva","vulva"]
UBERON:0001013	adipose tissue	Portion of connective tissue composed of adipocytes enmeshed in areolar tissue.	["fat","fat tissue","fatty tissue"]
UBERON:0001016	nervous system	The nervous system is an organ system containing predominantly neuron and glial cells. In bilaterally symmetrical organism, it is arranged in a network of tree-like structures connected to a central body. The main functions of the nervous system are to regulate and control body functions, and to receive sensory input, process this information, and generate behavior.	["neurological system"]
UBERON:0001017	central nervous system	The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the neural tube derivatives: the brain and spinal cord. In invertebrates it includes central ganglia plus nerve cord.	["CNS","systema nervosum centrale"]
UBERON:0001021	nerve	An enclosed, cable-like bundle of axons in the peripheral nervous system originating in a nerve root in the central nervous system (or a condensed nervous structure) connecting with peripheral structures.	["nerves","peripheral nerve"]
UBERON:0001043	esophagus	Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993).	["gullet","oesophagus"]
UBERON:0001044	saliva-secreting gland	Saliva-secreting exocrine glands of the oral cavity.	["salivary gland"]
UBERON:0001051	hypopharynx	Bottom part of the pharynx that connects to the esophagus.	["laryngeal pharynx","laryngopharynx"]
UBERON:0001155	colon	A portion of the large intestine before it becomes the rectum. In mammals, the colon is the most part of the large intestine, excluding the vermiform appendix, the rectum and the anal canal.	["large bowel"]
UBERON:0001179	peritoneal cavity	Anatomical cavity bounded by visceral and parietal peritoneum.	[]
UBERON:0001255	urinary bladder	Distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion.	["bladder","vesica urinaria"]
UBERON:0001264	pancreas	An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating enzymes.	[]
UBERON:0001295	endometrium	The glandular mucous membrane lining of the uterine cavity that is hormonally responsive during the estrous/menstrual cycle and during pregnancy.	["tunica mucosa (endometrium)","tunica mucosa uteri","uterine endometrium"]
UBERON:0001630	muscle organ	Organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work.	["muscle"]
UBERON:0001744	lymphoid tissue	Portion of connective tissue with various types of white blood cells enmeshed in it, most numerous being the lymphocytes.	["lymphatic tissue","lymphocytic tissue"]
UBERON:0001981	blood vessel	A vessel through which blood circulates in the body.	["region of vascular tree organ","vascular element","vascular tree organ region"]
UBERON:0001987	placenta	Organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell.	["allantoic placenta","eutherian placenta"]
UBERON:0002046	thyroid gland	A two-lobed endocrine gland found in all vertebrates, located in front of and on either side of the trachea in humans, and producing various hormones, such as triiodothyronine and calcitonin.	["thyroid"]
UBERON:0002048	lung	Respiration organ that develops as an outpocketing of the esophagus.	["pulmo"]
UBERON:0002097	skin of body	The organ covering the body that consists of the dermis and epidermis.	["entire skin","skin organ"]
UBERON:0002106	spleen	The organ that functions to filter blood and to store red corpuscles and platelets.	[]
UBERON:0002107	liver	An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes.	[]
UBERON:0002108	small intestine	Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum.	["small bowel","small intestine"]
UBERON:0002110	gall bladder	An organ that aids digestion and stores bile produced by the liver.	["gall bladder","gallbladder"]
UBERON:0002113	kidney	A paired organ of the urinary tract which has the production of urine as its primary function.	[]
UBERON:0002294	biliary system	Organ system subdivision that consists of the organs and ducts that are involved in the production and transportation of bile. In most species this is the gallbladder and the bile ducts (biliary tree).	["biliary apparatus"]
UBERON:0002331	umbilical cord	The connecting cord from the developing embryo to the placenta.	["chorda umbilicalis","funiculus umbilicalis"]
UBERON:0002367	prostate gland	The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid.	["male prostate","prostate"]
UBERON:0002369	adrenal gland	Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine.	["glandula adrenalis","glandula suprarenalis"]
UBERON:0002371	bone marrow	The soft tissue that fills the cavities of bones.	["medulla ossea","medulla ossium"]
UBERON:0002384	connective tissue	Tissue with cells that deposit non-polarized extracellular matrix including connective tissue fibers and ground substance.	["portion of connective tissue","textus connectivus"]
UBERON:0002397	maxilla	The bone which normally forms the lateral upper jaw in osteichthyans, including tetrapods.	["upper jaw bone"]
UBERON:0002465	lymphoid system	The lymphatic system in vertebrates is a network of conduits that carry a clear fluid called lymph. It also includes the lymphoid tissue through which the lymph travels. Lymphoid tissue is found in many organs, particularly the lymph nodes, and in the lymphoid follicles associated with the digestive system such as the tonsils. The system also includes all the structures dedicated to the circulation and production of lymphocytes, which includes the spleen, thymus, bone marrow and the lymphoid tissue associated with the digestive system.	[]
UBERON:0002481	bone tissue	Skeletal tissue with a collagen-rich extracellular matrix vascularized, mineralized with hydroxyapatite and typically including osteocytes located in lacunae that communicate with one another by cell processes (in canaliculi). Bone is deposited by osteoblasts.	["calcium tissue","osseous tissue","osteogenic tissue"]
UBERON:0003889	fallopian tube	Initial section of the oviduct through which the ova pass from the ovary to the uterus.	["mammalian oviduct","salpinges","salpinx","uterine tube (sensu Mammalia)"]
UBERON:0006558	lymphatic part of lymphoid system	An organ system subdivision that is a network of vessels capable of removing accumulating protein and fluid from the interstitial space and returning it to the vascular space. In some species, this network is connected to the immune system via lymph nodes and lymphocyte-producing organs, with the whole being the lymphoid system.	["lymphatic system","lymphatic tree system"]
UBERON:0007616	layer of synovial tissue	A thin, loose vascular connective tissue that makes up the membranes surrounding joints and the sheaths protecting tendons (particularly flexor tendons in the hands and feet) where they pass over bony prominences. Synovial tissue contains synovial cells, which secrete a viscous liquid called synovial fluid; this liquid contains protein and hyaluronic acid and serves as a lubricant and nutrient for the joint cartilage surfaces. Synovial tissue can be found in tendons (tissues that connect muscle to bone), bursae (fluid-filled, cushioning sacs found in spaces between tendons, ligaments, and bones), and the cavity (hollow enclosed area) that separates the bones of a freely movable joint, such as the knee or elbow.	["synovium"]
UBERON:0007798	vascular system	Anatomical system that consists of all blood and lymph vessels.	[]
UBERON:0011143	upper urinary tract	Subdivision of urinary system which consists of the kidney and the ureters.	[]
UBERON:0014892	skeletal muscle organ	A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles).	["skeletal muscle"]
