Tool_Name	tool_homepage_url	Tool_Description	Center	PMID	Electronic_Location_Identifier	Article_Title	Article_Date	Abstract	Journal_Title	ISSN	CFDE_Grant	Grant_List	Citations	KeywordList	Readers_Count	Altmetric_Score	Facebook_Shares	Readers_in_Mendeley	Mentions_in_social_media	Twitter_accounts_that_tweeted_this_publication	Scientists_who_mentioned_the_publication_on_Twitter	Institution	Country	Article_Language	Topic	Last_Author	Author_Information	Publication_Type
P100/GCP Mosaic	https://amp.pharm.mssm.edu/p100mosaic	Mosaic visualization of targeted phosphoproteomics and post-translation histone modifications after chemical perturbation of cancer cell lines	DCIC	[]																								
PAEA (Principal Angle Enrichr Analysis)	https://amp.pharm.mssm.edu/PAEA/	Enrichment analysis tool implementing the principal angle method	DCIC	[26848405.0]	10.1109/BIBM.2015.7359689	Principal Angle Enrichment Analysis (PAEA): Dimensionally Reduced Multivariate Gene Set Enrichment Analysis Tool		Gene set analysis of differential expression, which identifies collectively differentially expressed gene sets, has become an important tool for biology. The power of this approach lies in its reduction of the dimensionality of the statistical problem and its incorporation of biological interpretation by construction. Many approaches to gene set analysis have been proposed, but benchmarking their performance in the setting of real biological data is difficult due to the lack of a gold standard. In a previously published work we proposed a geometrical approach to differential expression which performed highly in benchmarking tests and compared well to the most popular methods of differential gene expression. As reported, this approach has a natural extension to gene set analysis which we call Principal Angle Enrichment Analysis (PAEA). PAEA employs dimensionality reduction and a multivariate approach for gene set enrichment analysis. However, the performance of this method has not been assessed nor its implementation as a web-based tool. Here we describe new benchmarking protocols for gene set analysis methods and find that PAEA performs highly. The PAEA method is implemented as a user-friendly web-based tool, which contains 70 gene set libraries and is freely available to the community.	Proceedings (IEEE Int Conf Bioinformatics Biomed)	2156-1125																		
Panorama	https://panoramaweb.org	Proteomics repository that provides access to the PCCSE P100 and GCP data	LINCS PCCSE	[25102069.0]	10.1021/pr5006636	Panorama a targeted proteomics knowledge base.		Panorama is a web application for storing sharing analyzing and reusing targeted assays created and refined with Skyline1 an increasingly popular Windows client software tool for targeted proteomics experiments. Panorama allows laboratories to store and organize curated results contained in Skyline documents with finegrained permissions which facilitates distributed collaboration and secure sharing of published and unpublished data via a webbrowser interface. It is fully integrated with the Skyline workflow and supports publishing a document directly to a Panorama server from the Skyline user interface. Panorama captures the complete Skyline document information content in a relational database schema. Curated results published to Panorama can be aggregated and exported as chromatogram libraries. These libraries can be used in Skyline to pick optimal targets in new experiments and to validate peak identification of target peptides. Panorama is opensource and freely available. It is distributed as part of LabKey Server2 an open source biomedical research data management system. Laboratories and organizations can set up Panorama locally by downloading and installing the software on their own servers. They can also request freely hosted projects on https//panoramaweb.org  a Panorama server maintained by the Department of Genome Sciences at the University of Washington.	Journal of proteome research	1535-3907	CA164186	[{'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U24 CA160034'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'R01HL096738'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'R01 HL096738'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U01 CA164186'}, {'Agency': 'PHS HHS', 'Country': 'United States', 'GrantID': 'HHSN268201000033C'}, {'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': 'R01 GM103551'}, {'Agency': 'NIDA NIH HHS', 'Acronym': 'DA', 'Country': 'United States', 'GrantID': 'P30 DA018343'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'HHSN268201000033C'}, {'Agency': 'NCATS NIH HHS', 'Acronym': 'TR', 'Country': 'United States', 'GrantID': 'UL1 TR000142'}, {'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': 'T32 GM007266'}]	74.0		109.0	5.5		108.0		5.0		Uni of Washington	USA	['eng']	[{'Topic_name': 'Disease study using gene expression', 'Topic_number': '5', 'LDA_probability': 0.48}, {'Topic_name': 'Tools to perform sequence analysis', 'Topic_number': '3', 'LDA_probability': 0.34}, {'Topic_name': 'Drugs and chemical studies', 'Topic_number': '8', 'LDA_probability': 0.12}, {'Topic_name': 'Alignment algorithms and methods', 'Topic_number': '2', 'LDA_probability': 0.03}, {'Topic_name': 'Genome sequence databases', 'Topic_number': '1', 'LDA_probability': 0.02}, {'Topic_name': 'Biological pathways and interactions', 'Topic_number': '7', 'LDA_probability': 0.02}, {'Topic_name': 'Sequence-based prediction of DNA and RNA', 'Topic_number': '4', 'LDA_probability': 0}, {'Topic_name': 'Protein structure', 'Topic_number': '6', 'LDA_probability': 0}, {'Topic_name': 'Brain studies using images', 'Topic_number': '9', 'LDA_probability': 0}]	{'Name': 'Brendan MacLean', 'ForeName': 'Brendan', 'Initials': 'B', 'LastName': 'MacLean'}	[{'Name': 'Vagisha Sharma', 'ForeName': 'Vagisha', 'Initials': 'V', 'LastName': 'Sharma', 'AffiliationInfo': [{'Affiliation': 'University of Washington , Seattle, Washington 98195, United States.'}]}, {'Name': 'Josh Eckels', 'ForeName': 'Josh', 'Initials': 'J', 'LastName': 'Eckels'}, {'Name': 'Greg K Taylor', 'ForeName': 'Greg K', 'Initials': 'GK', 'LastName': 'Taylor'}, {'Name': 'Nicholas J Shulman', 'ForeName': 'Nicholas J', 'Initials': 'NJ', 'LastName': 'Shulman'}, {'Name': 'Andrew B Stergachis', 'ForeName': 'Andrew B', 'Initials': 'AB', 'LastName': 'Stergachis'}, {'Name': 'Shannon A Joyner', 'ForeName': 'Shannon A', 'Initials': 'SA', 'LastName': 'Joyner'}, {'Name': 'Ping Yan', 'ForeName': 'Ping', 'Initials': 'P', 'LastName': 'Yan'}, {'Name': 'Jeffrey R Whiteaker', 'ForeName': 'Jeffrey R', 'Initials': 'JR', 'LastName': 'Whiteaker'}, {'Name': 'Goran N Halusa', 'ForeName': 'Goran N', 'Initials': 'GN', 'LastName': 'Halusa'}, {'Name': 'Birgit Schilling', 'ForeName': 'Birgit', 'Initials': 'B', 'LastName': 'Schilling'}, {'Name': 'Bradford W Gibson', 'ForeName': 'Bradford W', 'Initials': 'BW', 'LastName': 'Gibson'}, {'Name': 'Christopher M Colangelo', 'ForeName': 'Christopher M', 'Initials': 'CM', 'LastName': 'Colangelo'}, {'Name': 'Amanda G Paulovich', 'ForeName': 'Amanda G', 'Initials': 'AG', 'LastName': 'Paulovich'}, {'Name': 'Steven A Carr', 'ForeName': 'Steven A', 'Initials': 'SA', 'LastName': 'Carr'}, {'Name': 'Jacob D Jaffe', 'ForeName': 'Jacob D', 'Initials': 'JD', 'LastName': 'Jaffe'}, {'Name': 'Michael J MacCoss', 'ForeName': 'Michael J', 'Initials': 'MJ', 'LastName': 'MacCoss'}, {'Name': 'Brendan MacLean', 'ForeName': 'Brendan', 'Initials': 'B', 'LastName': 'MacLean'}]	"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]"
Phosphosite Plus	http://www.phosphosite.org/	Comprehensive resource for the study of protein post-translational modifications	DCIC	[25514926.0]	10.1093/nar/gku1267	PhosphoSitePlus  2014: mutations  PTMs and recalibrations.		PhosphoSitePlus     PSP  http://www.phosphosite.org/   a knowledgebase dedicated to mammalian post-translational modifications  PTMs   contains over 330 000 non-redundant PTMs  including phospho  acetyl  ubiquityl and methyl groups. Over 95  of the sites are from mass spectrometry  MS  experiments. In order to improve data reliability  early MS data have been reanalyzed  applying a common standard of analysis across over 1 000 000 spectra. Site assignments with P   0.05 were filtered out. Two new downloads are available from PSP. The  Regulatory sites  dataset includes curated information about modification sites that regulate downstream cellular processes  molecular functions and protein-protein interactions. The  PTMVar  dataset  an intersect of missense mutations and PTMs from PSP  identifies over 25 000 PTMVars  PTMs Impacted by Variants  that can rewire signaling pathways. The PTMVar data include missense mutations from UniPROTKB  TCGA and other sources that cause over 2000 diseases or syndromes  MIM  and polymorphisms  or are associated with hundreds of cancers. PTMVars include 18 548 phosphorlyation sites  3412 ubiquitylation sites  2316 acetylation sites  685 methylation sites and 245 succinylation sites.	Nucleic acids research	1362-4962	HL127624	[{'Agency': 'NIAAA NIH HHS', 'Acronym': 'AA', 'Country': 'United States', 'GrantID': 'R44AA014848M'}, {'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': 'R43GM065768'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54 HL127624'}, {'Agency': 'NIAAA NIH HHS', 'Acronym': 'AA', 'Country': 'United States', 'GrantID': 'R44 AA014848'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'R44CA126080'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'R44 CA126080'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54-HL127624-01'}]	678.0		755.0	22.854						Cell Signaling Tech	USA	['eng']	[{'Topic': 'Sequence-based prediction of DNA and RNA', 'Topic_number': '4', 'LDA_probability': 0.2743743792}, {'Topic': 'Alignment algorithms and methods', 'Topic_number': '2', 'LDA_probability': 0.2438068724}, {'Topic': 'Disease study using gene expression', 'Topic_number': '5', 'LDA_probability': 0.2272323918}, {'Topic': 'Tools to perform sequence analysis', 'Topic_number': '3', 'LDA_probability': 0.1444281997}, {'Topic': 'Protein structure', 'Topic_number': '6', 'LDA_probability': 0.1048647473}, {'Topic': 'Brain studies using images', 'Topic_number': '9', 'LDA_probability': 0.001323834}, {'Topic': 'Biological pathways and interactions', 'Topic_number': '7', 'LDA_probability': 0.0013233149}, {'Topic': 'Drugs and chemical studies', 'Topic_number': '8', 'LDA_probability': 0.0013231352}, {'Topic': 'Genome sequence databases', 'Topic_number': '1', 'LDA_probability': 0.0013231254}]	{'Name': 'Elzbieta Skrzypek', 'ForeName': 'Elzbieta', 'Initials': 'E', 'LastName': 'Skrzypek'}	[{'Name': 'Peter V Hornbeck', 'ForeName': 'Peter V', 'Initials': 'PV', 'LastName': 'Hornbeck', 'AffiliationInfo': [{'Affiliation': 'Cell Signaling Technology, 3 Trask Lane, Danvers, MA 01923, USA phornbeck@cellsignal.com.'}]}, {'Name': 'Bin Zhang', 'ForeName': 'Bin', 'Initials': 'B', 'LastName': 'Zhang', 'AffiliationInfo': [{'Affiliation': 'Cell Signaling Technology, 3 Trask Lane, Danvers, MA 01923, USA.'}]}, {'Name': 'Beth Murray', 'ForeName': 'Beth', 'Initials': 'B', 'LastName': 'Murray', 'AffiliationInfo': [{'Affiliation': 'Cell Signaling Technology, 3 Trask Lane, Danvers, MA 01923, USA.'}]}, {'Name': 'Jon M Kornhauser', 'ForeName': 'Jon M', 'Initials': 'JM', 'LastName': 'Kornhauser', 'AffiliationInfo': [{'Affiliation': 'Cell Signaling Technology, 3 Trask Lane, Danvers, MA 01923, USA.'}]}, {'Name': 'Vaughan Latham', 'ForeName': 'Vaughan', 'Initials': 'V', 'LastName': 'Latham', 'AffiliationInfo': [{'Affiliation': 'Cell Signaling Technology, 3 Trask Lane, Danvers, MA 01923, USA.'}]}, {'Name': 'Elzbieta Skrzypek', 'ForeName': 'Elzbieta', 'Initials': 'E', 'LastName': 'Skrzypek', 'AffiliationInfo': [{'Affiliation': 'Cell Signaling Technology, 3 Trask Lane, Danvers, MA 01923, USA.'}]}]	"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]"
piLINCS	http://eh3.uc.edu/pilincs/	Provides interface and access to LINCS proteomics datasets available in Panorama	DCIC	[]																								
PiNET	http://pinet-server.org	Used to annotate, map and analyze a set of peptide moieties	DCIC	[32469073.0]	10.1093/nar/gkaa436	piNET a versatile web platform for downstream analysis and visualization of proteomics data.		Rapid progress in proteomics and largescale profiling of biological systems at the protein level necessitates the continued development of efficient computational tools for the analysis and interpretation of proteomics data. Here we present the piNET server that facilitates integrated annotation analysis and visualization of quantitative proteomics data with emphasis on PTM networks and integration with the LINCS library of chemical and genetic perturbation signatures in order to provide further mechanistic and functional insights. The primary input for the server consists of a set of peptides or proteins optionally with PTM sites and their corresponding abundance values. Several interconnected workflows can be used to generate i interactive graphs and tables providing comprehensive annotation and mapping between peptides and proteins with PTM sites ii high resolution and interactive visualization for enzymesubstrate networks including kinases and their phosphopeptide targets iii mapping and visualization of LINCS signature connectivity for chemical inhibitors or genetic knockdown of enzymes upstream of their target PTM sites. piNET has been built using a modular SpringBoot JAVA platform as a fast versatile and easy to use tool. The Apache Lucene indexing is used for fast mapping of peptides into UniProt entries for the human mouse and other commonly used model organism proteomes. PTMcentric network analyses combine PhosphoSitePlus iPTMnet and SIGNOR databases of validated enzymesubstrate relationships for kinase networks augmented by DeepPhos predictions and sequencebased mapping of PhosphoSitePlus consensus motifs. Concordant LINCS signatures are mapped using iLINCS. For each workflow a RESTful API counterpart can be used to generate the results programmatically in the json format. The server is available at http//pinetserver.org and it is free and open to all users without login requirement.	Nucleic acids research	1362-4962	HL127624	[{'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54 HL127624'}]	0.0		0.0	22.93		0.0	1.0	30.0	13.0	Uni of Cincinnati College of Medicine	Thailand	['eng']	[{'Topic': 'Genome sequence databases', 'Topic_number': '1', 'LDA_probability': 0.1111111111}, {'Topic': 'Alignment algorithms and methods', 'Topic_number': '2', 'LDA_probability': 0.1111111111}, {'Topic': 'Tools to perform sequence analysis', 'Topic_number': '3', 'LDA_probability': 0.1111111111}, {'Topic': 'Sequence-based prediction of DNA and RNA', 'Topic_number': '4', 'LDA_probability': 0.1111111111}, {'Topic': 'Disease study using gene expression', 'Topic_number': '5', 'LDA_probability': 0.1111111111}, {'Topic': 'Protein structure', 'Topic_number': '6', 'LDA_probability': 0.1111111111}, {'Topic': 'Biological pathways and interactions', 'Topic_number': '7', 'LDA_probability': 0.1111111111}, {'Topic': 'Drugs and chemical studies', 'Topic_number': '8', 'LDA_probability': 0.1111111111}, {'Topic': 'Brain studies using images', 'Topic_number': '9', 'LDA_probability': 0.1111111111}]	{'Name': 'Jarek Meller', 'ForeName': 'Jarek', 'Initials': 'J', 'LastName': 'Meller'}	"[{'Name': 'Behrouz Shamsaei', 'ForeName': 'Behrouz', 'Initials': 'B', 'LastName': 'Shamsaei', 'AffiliationInfo': [{'Affiliation': 'Department of Environmental and Public Health Sciences, University of Cincinnati College of Medicine, USA.'}]}, {'Name': 'Szymon Chojnacki', 'ForeName': 'Szymon', 'Initials': 'S', 'LastName': 'Chojnacki', 'AffiliationInfo': [{'Affiliation': 'Department of Environmental and Public Health Sciences, University of Cincinnati College of Medicine, USA.'}]}, {'Name': 'Marcin Pilarczyk', 'ForeName': 'Marcin', 'Initials': 'M', 'LastName': 'Pilarczyk', 'AffiliationInfo': [{'Affiliation': 'Department of Environmental and Public Health Sciences, University of Cincinnati College of Medicine, USA.'}]}, {'Name': 'Mehdi Najafabadi', 'ForeName': 'Mehdi', 'Initials': 'M', 'LastName': 'Najafabadi', 'AffiliationInfo': [{'Affiliation': 'Department of Environmental and Public Health Sciences, University of Cincinnati College of Medicine, USA.'}]}, {'Name': 'Wen Niu', 'ForeName': 'Wen', 'Initials': 'W', 'LastName': 'Niu', 'AffiliationInfo': [{'Affiliation': 'Department of Environmental and Public Health Sciences, University of Cincinnati College of Medicine, USA.'}]}, {'Name': 'Chuming Chen', 'ForeName': 'Chuming', 'Initials': 'C', 'LastName': 'Chen', 'AffiliationInfo': [{'Affiliation': 'Center for Bioinformatics & Computational Biology; University of Delaware, USA.'}]}, {'Name': 'Karen Ross', 'ForeName': 'Karen', 'Initials': 'K', 'LastName': 'Ross', 'AffiliationInfo': [{'Affiliation': 'Department of Biochemistry and Molecular & Cellular Biology, Georgetown University Medical Center, USA.'}]}, {'Name': 'Andrea Matlock', 'ForeName': 'Andrea', 'Initials': 'A', 'LastName': 'Matlock', 'AffiliationInfo': [{'Affiliation': 'Department of Biomedical Sciences, Cedars-Sinai Medical Center, USA.'}]}, {'Name': 'Jeremy Muhlich', 'ForeName': 'Jeremy', 'Initials': 'J', 'LastName': 'Muhlich', 'AffiliationInfo': [{'Affiliation': 'Department of Systems Biology, Harvard Medical School, USA.'}]}, {'Name': 'Somchai Chutipongtanate', 'ForeName': 'Somchai', 'Initials': 'S', 'LastName': 'Chutipongtanate', 'AffiliationInfo': [{'Affiliation': 'Department of Cancer Biology, University of Cincinnati College of Medicine, USA.'}, {'Affiliation': 'Department of Pediatrics, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Thailand.'}]}, {'Name': 'Jie Zheng', 'ForeName': 'Jie', 'Initials': 'J', 'LastName': 'Zheng', 'AffiliationInfo': [{'Affiliation': 'Department of Genetics, University of Pennsylvania Perelman School of Medicine, USA.'}]}, {'Name': 'John Turner', 'ForeName': 'John', 'Initials': 'J', 'LastName': 'Turner', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacology, Miller School of Medicine, Sylvester Comprehensive Cancer Center, Center for Computational Science, University of Miami, Miami, USA.'}]}, {'Name': 'Dušica Vidović', 'ForeName': 'Dušica', 'Initials': 'D', 'LastName': 'Vidović', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacology, Miller School of Medicine, Sylvester Comprehensive Cancer Center, Center for Computational Science, University of Miami, Miami, USA.'}]}, {'Name': 'Jake Jaffe', 'ForeName': 'Jake', 'Initials': 'J', 'LastName': 'Jaffe', 'AffiliationInfo': [{'Affiliation': 'Broad Institute of MIT and Harvard & Inzen Therapeutics, USA.'}]}, {'Name': 'Michael MacCoss', 'ForeName': 'Michael', 'Initials': 'M', 'LastName': 'MacCoss', 'AffiliationInfo': [{'Affiliation': 'Department of Genome Sciences, University of Washington, USA.'}]}, {'Name': 'Cathy Wu', 'ForeName': 'Cathy', 'Initials': 'C', 'LastName': 'Wu', 'AffiliationInfo': [{'Affiliation': 'Center for Bioinformatics & Computational Biology; University of Delaware, USA.'}, {'Affiliation': 'Department of Biochemistry and Molecular & Cellular Biology, Georgetown University Medical Center, USA.'}]}, {'Name': 'Ajay Pillai', 'ForeName': 'Ajay', 'Initials': 'A', 'LastName': 'Pillai', 'AffiliationInfo': [{'Affiliation': 'Human Genome Research Institute, National Institutes of Health, Bethesda, USA.'}]}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Mount Sinai Center for Bioinformatics, Department of Pharmacological Sciences, Icahn School of Medicine at Mount Sinai, USA.'}]}, {'Name': 'Stephan Schürer', 'ForeName': 'Stephan', 'Initials': 'S', 'LastName': 'Schürer', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacology, Miller School of Medicine, Sylvester Comprehensive Cancer Center, Center for Computational Science, University of Miami, Miami, USA.'}]}, {'Name': 'Michal Kouril', 'ForeName': 'Michal', 'Initials': 'M', 'LastName': 'Kouril', 'AffiliationInfo': [{'Affiliation': ""Division of Biomedical Informatics, Cincinnati Children's Hospital Medical Center, USA.""}]}, {'Name': 'Mario Medvedovic', 'ForeName': 'Mario', 'Initials': 'M', 'LastName': 'Medvedovic', 'AffiliationInfo': [{'Affiliation': 'Department of Environmental and Public Health Sciences, University of Cincinnati College of Medicine, USA.'}, {'Affiliation': 'Department of Biomedical Informatics, University of Cincinnati College of Medicine, USA.'}]}, {'Name': 'Jarek Meller', 'ForeName': 'Jarek', 'Initials': 'J', 'LastName': 'Meller', 'AffiliationInfo': [{'Affiliation': 'Department of Environmental and Public Health Sciences, University of Cincinnati College of Medicine, USA.'}, {'Affiliation': ""Division of Biomedical Informatics, Cincinnati Children's Hospital Medical Center, USA.""}, {'Affiliation': 'Department of Electrical Engineering and Computer Science, University of Cincinnati, USA.'}]}]"	['Journal Article']
PIUMet	http://fraenkel-nsf.csbi.mit.edu/piumet2/	Tool for discovering pathways of peaks from untargeted metabolomics data	NeuroLINCS	[27479327.0]	10.1038/nmeth.3940	Revealing disease-associated pathways by network integration of untargeted metabolomics		Uncovering the molecular context of dysregulated metabolites is crucial to understand pathogenic pathways. However, their system-level analysis has been limited owing to challenges in global metabolite identification. Most metabolite features detected by untargeted metabolomics carried out by liquid-chromatography-mass spectrometry cannot be uniquely identified without additional, time-consuming experiments. We report a network-based approach, prize-collecting Steiner forest algorithm for integrative analysis of untargeted metabolomics (PIUMet), that infers molecular pathways and components via integrative analysis of metabolite features, without requiring their identification. We demonstrated PIUMet by analyzing changes in metabolism of sphingolipids, fatty acids and steroids in a Huntington's disease model. Additionally, PIUMet enabled us to elucidate putative identities of altered metabolite features in diseased cells, and infer experimentally undetected, disease-associated metabolites and dysregulated proteins. Finally, we established PIUMet's ability for integrative analysis of untargeted metabolomics data with proteomics data, demonstrating that this approach elicits disease-associated metabolites and proteins that cannot be inferred by individual analysis of these data.	Nature methods	1548-7105			85.0		319.0	42.0	4.0	319.0		66.0								
RTK Profile Browser	https://lincs.hms.harvard.edu/explore/responses/	Online tool for browsing breast cancer cell line RTK profiles	HMS LINCS	[24065145.0]	10.1126/scisignal.2004379	Profiles of Basal and stimulated receptor signaling networks predict drug response in breast cancer lines		Identifying factors responsible for variation in drug response is essential for the effective use of targeted therapeutics. We profiled signaling pathway activity in a collection of breast cancer cell lines before and after stimulation with physiologically relevant ligands, which revealed the variability in network activity among cells of known genotype and molecular subtype. Despite the receptor-based classification of breast cancer subtypes, we found that the abundance and activity of signaling proteins in unstimulated cells (basal profile), as well as the activity of proteins in stimulated cells (signaling profile), varied within each subtype. Using a partial least-squares regression approach, we constructed models that significantly predicted sensitivity to 23 targeted therapeutics. For example, one model showed that the response to the growth factor receptor ligand heregulin effectively predicted the sensitivity of cells to drugs targeting the cell survival pathway mediated by PI3K (phosphoinositide 3-kinase) and Akt, whereas the abundance of Akt or the mutational status of the enzymes in the pathway did not. Thus, basal and signaling protein profiles may yield new biomarkers of drug sensitivity and enable the identification of appropriate therapies in cancers characterized by similar functional dysregulation of signaling networks.	Science signaling	1937-9145			75.0		187.0	8.0		187.0		12.0								
SEP-L1000	http://maayanlab.net/SEP-L1000/	Web portal for searching and browsing predictive small-molecule/ADR connections	DCIC	[27153606.0]	10.1093/bioinformatics/btw168	Drug-induced adverse events prediction with the LINCS L1000 data.		Adverse drug reactions  ADRs  are a central consideration during drug development. Here we present a machine learning classifier to prioritize ADRs for approved drugs and pre-clinical small-molecule compounds by combining chemical structure  CS  and gene expression  GE  features. The GE data is from the Library of Integrated Network-based Cellular Signatures  LINCS  L1000 dataset that measured changes in GE before and after treatment of human cells with over 20 000 small-molecule compounds including most of the FDA-approved drugs. Using various benchmarking methods  we show that the integration of GE data with the CS of the drugs can significantly improve the predictability of ADRs. Moreover  transforming GE features to enrichment vectors of biological terms further improves the predictive capability of the classifiers. The most predictive biological-term features can assist in understanding the drug mechanisms of action. Finally  we applied the classifier to all  u2009 20 000 small-molecules profiled  and developed a web portal for browsing and searching predictive small-molecule/ADR connections.    The interface for the adverse event predictions for the  u2009 20 000 LINCS compounds is available at http://maayanlab.net/SEP-L1000/ CONTACT: avi.maayan mssm.edu    Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	GM098316	[{'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': 'R01 GM098316'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U54 CA189201'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54 HL127624'}]	40.0		134.0	18.5						Department of Pharmacology and Systems Therapeutics	USA	['eng']	[{'Topic': 'Protein structure', 'Topic_number': '6', 'LDA_probability': 0.3623606889}, {'Topic': 'Alignment algorithms and methods', 'Topic_number': '2', 'LDA_probability': 0.2036914589}, {'Topic': 'Drugs and chemical studies', 'Topic_number': '8', 'LDA_probability': 0.1386070145}, {'Topic': 'Sequence-based prediction of DNA and RNA', 'Topic_number': '4', 'LDA_probability': 0.1265879102}, {'Topic': 'Disease study using gene expression', 'Topic_number': '5', 'LDA_probability': 0.0982950315}, {'Topic': 'Tools to perform sequence analysis', 'Topic_number': '3', 'LDA_probability': 0.0670552992}, {'Topic': 'Brain studies using images', 'Topic_number': '9', 'LDA_probability': 0.0011345165}, {'Topic': 'Biological pathways and interactions', 'Topic_number': '7', 'LDA_probability': 0.0011340679}, {'Topic': 'Genome sequence databases', 'Topic_number': '1', 'LDA_probability': 0.0011340125}]	"{'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan""}"	"[{'Name': 'Zichen Wang', 'ForeName': 'Zichen', 'Initials': 'Z', 'LastName': 'Wang', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacology and Systems Therapeutics, One Gustave L. Levy Place Box 1215, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA.'}]}, {'Name': 'Neil R Clark', 'ForeName': 'Neil R', 'Initials': 'NR', 'LastName': 'Clark', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacology and Systems Therapeutics, One Gustave L. Levy Place Box 1215, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA.'}]}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacology and Systems Therapeutics, One Gustave L. Levy Place Box 1215, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA.'}]}]"	['Journal Article']
slicr	https://amp.pharm.mssm.edu/slicr/#/search	A metadata search engine that provides easy access to L1000 GEO data	DCIC	[]																								
slinky	https://bioconductor.org/packages/devel/bioc/html/slinky.html	R package to query the L1000 metadata via the CLUE.io REST API	LINCS Transcriptomics	[30629124.0]	10.1093/bioinformatics/btz002	Streamlined analysis of LINCS L1000 data with the slinky package for R		The L1000 dataset from the NIH LINCS program holds the promise to deconvolute a wide range of biological questions in transcriptional space. However, using this large and decentralized dataset presents its own challenges. The slinky package was created to streamline the process of identifying samples of interest and their corresponding control samples, and loading their associated expression data and metadata. The package can integrate with workflows leveraging the BioConductor collection of tools by encapsulating the L1000 data as a SummarizedExperiment object.	Bioinformatics (Oxford, England)	1367-4811			0.0		7.0	5.0		7.0		9.0								
Small Molecule Suite	https://labsyspharm.shinyapps.io/smallmoleculesuite/	Curated database with drug target data and drug similarity data.		[30956147.0]	10.1016/j.chembiol.2019.02.018	Cheminformatics Tools for Analyzing and Designing Optimized Small-Molecule Collections and Libraries		Libraries of well-annotated small molecules have many uses in chemical genetics, drug discovery, and therapeutic repurposing. Multiple libraries are available, but few data-driven approaches exist to compare them and design new libraries. We describe an approach to scoring and creating libraries based on binding selectivity, target coverage, and induced cellular phenotypes as well as chemical structure, stage of clinical development, and user preference. The approach, available via the online tool http://www.smallmoleculesuite.org, assembles sets of compounds with the lowest possible off-target overlap. Analysis of six kinase inhibitor libraries using our approach reveals dramatic differences among them and led us to design a new LSP-OptimalKinase library that outperforms existing collections in target coverage and compact size. We also describe a mechanism of action library that optimally covers 1,852 targets in the liganded genome. Our tools facilitate creation, analysis, and updates of both private and public compound collections.	Cell chemical biology	2451-9448			20.0		73.0			73.0		67.0								
